ID,Zone_Band,Xcoord,Ycoord
1,10S,553381,4182477
2,10S,552700,4182386
3,10S,552626,4182208
4,10S,552152,4182218
5,10S,552403,4182326
6,10S,552763,4182720
7,10S,552358,4182347
8,10S,551623,4183800
9,10S,550998,4184343
10,10S,551028,4183613
11,10S,552696,4182914
12,10S,553109,4183557
13,10S,551962,4181871
14,10S,552736,4181781
15,10S,551839,4182238
16,10S,552508,4184444
17,10S,553248,4182568
18,10S,553396,4183257
19,10S,553005,4182635
20,10S,552571,4181430
21,10S,552771,4182126
22,10S,552644,4182338
23,10S,552778,4182328
24,10S,553544,4182738
25,10S,553068,4181770
26,10S,552903,4183122
27,10S,553242,4182331
28,10S,553652,4181573
29,10S,551995,4182904
30,10S,552976,4184048
31,10S,553271,4181488
32,10S,552814,4180913
33,10S,552438,4182631
34,10S,551980,4182769
35,10S,552616,4182545
36,10S,552898,4180933
37,10S,553558,4178763
38,10S,553498,4179857
39,10S,551930,4178309
40,10S,551252,4181898
41,10S,552033,4181454
42,10S,551796,4181560
43,10S,553557,4179383
44,10S,553612,4178861
45,10S,550974,4180656
46,10S,551464,4182724
47,10S,553457,4176552
48,10S,552685,4177712
49,10S,552044,4178874
50,10S,553877,4179427
51,10S,552675,4180683
52,10S,549819,4179579
53,10S,551057,4181388
54,10S,553795,4180171
55,10S,552452,4177789
56,10S,551175,4182077
57,10S,553906,4182314
58,10S,553195,4181266
59,10S,553789,4178572
60,10S,552936,4180914
61,10S,553011,4181703
62,10S,552922,4174865
63,10S,553305,4179979
64,10S,550891,4183142
65,10S,552236,4180486
66,10S,553082,4179883
67,10S,550693,4176166
68,10S,552887,4177548
69,10S,551611,4182009
70,10S,551349,4182384
71,10S,548241,4175646
72,10S,551076,4180333
73,10S,552547,4178670
74,10S,550954,4182173
75,10S,551664,4180681
76,10S,547606,4175058
77,10S,549635,4175876
78,10S,550097,4176369
79,10S,547354,4175456
80,10S,553181,4174110
81,10S,549937,4179315
82,10S,548970,4183371
83,10S,546758,4177030
84,10S,549593,4184104
85,10S,551072,4180852
86,10S,547366,4178264
87,10S,549405,4181092
88,10S,546954,4180485
89,10S,550410,4180028
90,10S,550162,4182410
91,10S,547935,4178331
92,10S,550482,4179687
93,10S,547061,4184122
94,10S,550552,4178505
95,10S,551326,4180491
96,10S,550823,4180550
97,10S,550472,4176076
98,10S,544907,4172817
99,10S,545118,4175731
100,10S,549522,4178804
101,10S,549902,4181701
102,10S,549778,4177982
103,10S,548682,4177580
104,10S,551012,4180641
105,10S,549543,4179445
106,10S,549148,4180677
107,10S,543352,4179487
108,10S,547487,4180988
109,10S,545582,4182961
110,10S,547808,4182261
111,10S,545829,4180712
112,10S,551578,4182016
113,10S,545940,4175224
114,10S,545962,4178068
115,10S,544744,4182433
116,10S,546278,4175397
117,10S,544614,4174795
118,10S,544513,4180637
119,10S,544022,4176776
120,10S,546653,4173692
121,10S,542958,4181097
122,10S,552294,4182173
123,10S,553769,4181408
124,10S,553231,4182807
125,10S,553123,4183092
126,10S,552606,4183242
127,10S,553536,4183061
128,10S,552049,4182482
129,10S,552058,4182529
130,10S,552881,4183243
131,10S,553579,4182935
132,10S,553104,4183005
133,10S,551397,4183125
134,10S,552375,4181824
135,10S,552030,4183543
136,10S,552396,4181738
137,10S,553301,4183382
138,10S,551786,4184242
139,10S,552636,4183699
140,10S,553233,4183053
141,10S,550593,4183828
142,10S,552760,4183243
143,10S,552879,4183091
144,10S,552517,4182355
145,10S,552788,4182131
146,10S,552758,4183547
147,10S,553011,4181720
148,10S,553625,4182334
149,10S,553537,4182328
150,10S,552347,4183087
151,10S,551939,4183641
152,10S,551598,4184454
153,10S,552425,4181720
154,10S,552193,4181747
155,10S,551903,4183694
156,10S,551820,4182446
157,10S,552560,4182653
158,10S,550849,4182974
159,10S,552383,4183240
160,10S,553363,4182688
161,10S,553127,4182483
162,10S,553342,4181872
163,10S,553238,4182244
164,10S,552110,4183735
165,10S,551049,4182945
166,10S,551906,4184431
167,10S,553025,4183127
168,10S,553267,4181740
169,10S,552541,4182648
170,10S,553146,4181791
171,10S,551299,4181895
172,10S,553946,4179801
173,10S,553507,4180669
174,10S,552103,4182513
175,10S,552025,4181427
176,10S,552345,4179293
177,10S,551924,4181561
178,10S,551116,4181522
179,10S,553595,4181327
180,10S,553610,4179965
181,10S,553259,4181113
182,10S,552508,4179876
183,10S,550966,4182749
184,10S,553362,4181103
185,10S,551678,4182730
186,10S,550779,4183121
187,10S,552419,4177756
188,10S,551014,4181775
189,10S,553323,4179935
190,10S,551955,4176873
191,10S,553347,4181113
192,10S,551381,4182509
193,10S,552307,4178364
194,10S,551147,4182399
195,10S,547434,4174796
196,10S,550895,4178738
197,10S,548676,4175599
198,10S,551079,4182622
199,10S,551077,4182397
200,10S,548477,4174318
201,10S,547963,4173918
202,10S,550049,4174015
203,10S,551328,4181294
204,10S,549672,4180876
205,10S,549764,4182755
206,10S,548479,4180010
207,10S,548920,4180781
208,10S,551018,4180501
209,10S,548949,4182183
210,10S,546992,4176960
211,10S,548125,4182844
212,10S,547796,4182047
213,10S,547032,4182080
214,10S,551189,4179557
215,10S,550862,4177288
216,10S,550049,4181702
217,10S,551756,4178323
218,10S,546112,4184845
219,10S,547012,4176941
220,10S,548082,4180837
221,10S,551194,4182318
222,10S,549759,4179533
223,10S,548122,4181231
224,10S,549785,4179719
225,10S,549082,4183220
226,10S,550717,4181096
227,10S,550840,4180792
228,10S,549265,4181194
229,10S,550627,4182755
230,10S,549822,4183872
231,10S,549300,4183731
232,10S,546523,4180573
233,10S,546609,4182524
234,10S,546759,4173651
235,10S,546583,4176423
236,10S,546707,4180968
237,10S,550291,4180284
238,10S,545869,4180363
239,10S,551439,4181715
240,10S,550309,4178351
241,10S,546269,4179851
242,10S,545921,4180835
243,10S,546538,4182287
244,10S,544100,4179046
245,10S,543928,4179305
246,10S,546747,4173912
247,10S,551661,4180134
248,10S,552283,4182173
249,10S,553359,4183094
250,10S,552637,4183546
251,10S,552883,4182786
252,10S,553370,4182332
253,10S,553134,4183022
254,10S,551637,4183883
255,10S,552515,4183089
256,10S,552159,4182629
257,10S,553005,4182644
258,10S,552667,4181993
259,10S,550943,4183688
260,10S,551180,4184452
261,10S,550657,4183686
262,10S,551944,4182656
263,10S,551687,4183845
264,10S,551552,4183082
265,10S,552995,4183706
266,10S,551939,4184429
267,10S,553078,4182734
268,10S,552998,4183032
269,10S,552469,4182740
270,10S,551828,4182297
271,10S,553538,4183095
272,10S,552687,4181457
273,10S,552651,4181261
274,10S,552745,4182179
275,10S,553003,4182939
276,10S,552147,4184535
277,10S,552820,4184032
278,10S,552561,4182585
279,10S,553361,4183032
280,10S,552035,4183086
281,10S,552459,4182078
282,10S,553277,4181391
283,10S,554552,4177312
284,10S,550455,4179577
285,10S,553080,4174233
286,10S,553248,4177550
287,10S,552503,4175663
288,10S,552882,4177391
289,10S,553606,4178578
290,10S,552608,4180277
291,10S,552259,4181053
292,10S,553418,4177636
293,10S,552416,4180193
294,10S,550386,4180611
295,10S,551319,4180896
296,10S,553292,4180603
297,10S,552659,4180064
298,10S,551682,4180493
299,10S,553170,4180312
300,10S,553913,4182488
301,10S,552471,4180879
302,10S,553411,4181430
303,10S,550967,4182566
304,10S,552115,4181277
305,10S,551396,4182492
306,10S,547999,4175704
307,10S,552220,4181177
308,10S,553475,4172750
309,10S,548548,4175031
310,10S,552667,4177574
311,10S,549088,4175039
312,10S,552084,4180579
313,10S,549297,4176750
314,10S,551346,4178275
315,10S,547948,4173858
316,10S,551909,4181091
